,0,1
0,0.0,0.001
1,0.0,0.0
2,0.0,0.001
3,0.0,0.002
4,0.01,0.003
5,0.0,0.003
6,0.0,0.004
7,0.0,0.007
8,0.0,0.005
9,0.0,0.01
10,0.0,0.009
11,0.0,0.016
12,0.0,0.016
13,0.0,0.016
14,0.0,0.023
15,0.0,0.032
16,0.0,0.027
17,0.0,0.022
18,0.0,0.039
19,0.0,0.045
20,0.0,0.051
21,0.0,0.057
22,0.0,0.058
23,0.0,0.062
24,0.0,0.094
25,0.0,0.113
26,0.0,0.129
27,0.0,0.14
28,0.01,0.138
29,0.0,0.181
30,0.0,0.198
31,0.01,0.226
32,0.0,0.261
33,0.0,0.29
34,0.0,0.297
35,0.0,0.362
36,0.0,0.359
37,0.01,0.351
38,0.0,0.4
39,0.0,0.378
40,0.01,0.399
41,0.0,0.42
42,0.0,0.444
43,0.0,0.464
44,0.0,0.473
45,0.01,0.466
46,0.0,0.485
47,0.01,0.502
48,0.0,0.49
49,0.0,0.511
50,0.0,0.5
51,0.01,0.533
52,0.0,0.494
53,0.0,0.518
54,0.0,0.538
55,0.01,0.537
56,0.0,0.536
57,0.0,0.515
58,0.01,0.547
59,0.0,0.523
60,0.0,0.523
61,0.02,0.55
62,0.0,0.576
63,0.0,0.58
64,0.0,0.546
65,0.0,0.554
66,0.01,0.565
67,0.01,0.551
68,0.0,0.563
69,0.0,0.585
70,0.0,0.561
71,0.02,0.607
72,0.0,0.587
73,0.0,0.595
74,0.01,0.587
75,0.01,0.578
76,0.0,0.582
77,0.0,0.603
78,0.0,0.571
79,0.03,0.589
80,0.01,0.568
81,0.0,0.575
82,0.01,0.589
83,0.0,0.568
84,0.01,0.564
85,0.0,0.577
86,0.02,0.588
87,0.0,0.631
88,0.0,0.589
89,0.0,0.58
90,0.01,0.593
91,0.0,0.612
92,0.03,0.616
93,0.02,0.617
94,0.01,0.617
95,0.0,0.619
96,0.01,0.607
97,0.0,0.631
98,0.01,0.62
99,0.01,0.606
100,0.01,0.607
101,0.0,0.659
102,0.0,0.667
103,0.01,0.664
104,0.03,0.677
105,0.02,0.671
106,0.01,0.667
107,0.0,0.684
108,0.01,0.683
109,0.0,0.685
110,0.01,0.691
111,0.01,0.715
112,0.01,0.722
113,0.03,0.713
114,0.01,0.714
115,0.02,0.711
116,0.02,0.705
117,0.03,0.688
118,0.01,0.681
119,0.01,0.708
120,0.02,0.703
121,0.01,0.721
122,0.01,0.712
123,0.0,0.725
124,0.03,0.699
125,0.01,0.74
126,0.03,0.71
127,0.04,0.725
128,0.01,0.719
129,0.0,0.72
130,0.0,0.718
131,0.03,0.728
132,0.03,0.739
133,0.0,0.734
134,0.02,0.734
135,0.0,0.73
136,0.02,0.728
137,0.04,0.725
138,0.01,0.735
139,0.01,0.708
140,0.01,0.737
141,0.04,0.763
142,0.0,0.732
143,0.02,0.725
144,0.02,0.726
145,0.02,0.74
146,0.04,0.74
147,0.03,0.758
148,0.04,0.766
149,0.01,0.727
150,0.0,0.748
151,0.04,0.766
152,0.03,0.766
153,0.01,0.768
154,0.05,0.755
155,0.06,0.766
156,0.03,0.746
157,0.05,0.761
158,0.01,0.792
159,0.04,0.773
160,0.05,0.753
161,0.06,0.777
162,0.03,0.783
163,0.0,0.753
164,0.05,0.778
165,0.01,0.77
166,0.01,0.795
167,0.02,0.784
168,0.02,0.802
169,0.02,0.762
170,0.01,0.772
171,0.01,0.776
172,0.03,0.803
173,0.02,0.745
174,0.03,0.773
175,0.04,0.783
176,0.01,0.787
177,0.03,0.764
178,0.02,0.774
179,0.02,0.794
180,0.03,0.776
181,0.02,0.792
182,0.11,0.782
183,0.03,0.782
184,0.02,0.784
185,0.02,0.799
186,0.05,0.785
187,0.06,0.786
188,0.0,0.809
189,0.05,0.778
190,0.05,0.788
191,0.03,0.805
192,0.02,0.798
193,0.03,0.758
194,0.05,0.786
195,0.05,0.794
196,0.08,0.801
197,0.06,0.811
198,0.06,0.772
199,0.02,0.785
200,0.04,0.8
201,0.06,0.723
202,0.04,0.696
203,0.09,0.785
204,0.05,0.781
205,0.07,0.791
206,0.01,0.821
207,0.07,0.761
208,0.05,0.754
209,0.03,0.729
210,0.06,0.778
211,0.07,0.782
212,0.05,0.805
213,0.05,0.741
214,0.05,0.799
215,0.05,0.821
216,0.03,0.814
217,0.05,0.801
218,0.09,0.821
219,0.07,0.79
220,0.09,0.775
221,0.06,0.791
222,0.04,0.798
223,0.1,0.798
224,0.06,0.782
225,0.04,0.803
226,0.07,0.79
227,0.06,0.782
228,0.02,0.778
229,0.04,0.806
230,0.07,0.787
231,0.04,0.782
232,0.06,0.782
233,0.08,0.801
234,0.05,0.805
235,0.09,0.796
236,0.03,0.797
237,0.08,0.794
238,0.05,0.784
239,0.07,0.817
240,0.05,0.802
241,0.07,0.815
242,0.13,0.793
243,0.11,0.784
244,0.08,0.786
245,0.08,0.813
246,0.08,0.793
247,0.14,0.797
248,0.1,0.816
249,0.1,0.777
250,0.06,0.807
251,0.08,0.805
252,0.08,0.798
253,0.12,0.778
254,0.09,0.785
255,0.11,0.797
256,0.19,0.814
257,0.09,0.819
258,0.16,0.819
259,0.15,0.808
260,0.08,0.812
261,0.13,0.818
262,0.14,0.817
263,0.13,0.805
264,0.14,0.817
265,0.1,0.792
266,0.13,0.808
267,0.15,0.803
268,0.12,0.788
269,0.17,0.812
270,0.16,0.813
271,0.1,0.794
272,0.14,0.799
273,0.08,0.798
274,0.12,0.798
275,0.1,0.79
276,0.16,0.789
277,0.2,0.775
278,0.16,0.817
279,0.18,0.815
280,0.12,0.786
281,0.14,0.801
282,0.16,0.815
283,0.11,0.801
284,0.17,0.82
285,0.17,0.818
286,0.15,0.793
287,0.1,0.79
288,0.14,0.804
289,0.12,0.821
290,0.15,0.799
291,0.15,0.794
292,0.16,0.808
293,0.15,0.806
294,0.18,0.794
295,0.17,0.808
296,0.17,0.782
297,0.17,0.835
298,0.28,0.84
299,0.23,
300,0.22,
301,0.2,
302,0.19,
303,0.16,
304,0.14,
305,0.23,
306,0.24,
307,0.14,
308,0.24,
309,0.22,
310,0.26,
311,0.17,
312,0.25,
313,0.26,
314,0.19,
315,0.19,
316,0.2,
317,0.27,
318,0.25,
319,0.22,
320,0.27,
321,0.23,
322,0.26,
323,0.3,
324,0.22,
325,0.26,
326,0.26,
327,0.34,
328,0.25,
329,0.22,
330,0.33,
331,0.27,
332,0.23,
333,0.29,
334,0.28,
335,0.27,
336,0.35,
337,0.27,
338,0.34,
339,0.27,
340,0.27,
341,0.29,
342,0.3,
343,0.36,
344,0.36,
345,0.25,
346,0.19,
347,0.29,
348,0.36,
349,0.3,
350,0.35,
351,0.34,
352,0.36,
353,0.34,
354,0.32,
355,0.46,
356,0.34,
357,0.34,
358,0.46,
359,0.31,
360,0.27,
361,0.4,
362,0.39,
363,0.34,
364,0.38,
365,0.41,
366,0.31,
367,0.35,
368,0.28,
369,0.46,
370,0.37,
371,0.33,
372,0.39,
373,0.28,
374,0.32,
375,0.3,
376,0.41,
377,0.4,
378,0.4,
379,0.31,
380,0.45,
381,0.43,
382,0.33,
383,0.41,
384,0.39,
385,0.41,
386,0.46,
387,0.38,
388,0.32,
389,0.42,
390,0.36,
391,0.42,
392,0.36,
393,0.43,
394,0.33,
395,0.29,
396,0.38,
397,0.38,
398,0.44,
399,0.39,
400,0.37,
401,0.38,
402,0.39,
403,0.39,
