,vertex,random
0,1,33
1,20,61
2,18,42
3,47,32
4,35,52
5,9,1
6,14,9
7,1,20
8,36,1
9,1,47
10,1,1
11,38,1
12,1,1
13,45,63
14,26,47
15,12,8
16,9,1
17,36,1
18,39,42
19,6,47
20,10,1
21,1,32
22,41,1
23,9,1
24,49,1
25,1,1
26,50,62
27,22,51
28,45,28
29,1,1
30,54,26
31,6,1
32,52,22
33,8,15
34,4,1
35,19,1
36,54,37
37,1,1
38,1,1
39,35,17
40,31,1
41,8,36
42,1,1
43,30,49
44,1,1
45,1,8
46,14,1
47,36,1
48,18,37
49,6,1
50,16,37
51,8,35
52,1,44
53,4,17
54,4,56
55,1,31
56,16,1
57,4,1
58,41,54
59,29,1
60,1,50
61,35,1
62,1,1
63,1,1
64,1,58
65,32,30
66,6,1
67,6,1
68,1,1
69,55,1
70,6,47
71,1,27
72,33,1
73,34,1
74,1,1
75,1,54
76,18,1
77,28,1
78,59,1
79,1,36
80,28,28
81,1,62
82,12,50
83,1,1
84,12,46
85,14,26
86,17,1
87,1,55
88,15,54
89,1,1
90,42,40
91,16,47
92,63,1
93,6,1
94,14,24
95,1,1
96,1,17
97,1,1
98,4,9
99,24,1
100,15,30
101,14,1
102,63,1
103,48,46
104,1,1
105,57,49
106,14,1
107,1,34
108,23,1
109,14,1
110,1,1
111,24,51
112,57,52
113,1,1
114,1,1
115,8,1
116,1,1
117,1,36
118,1,1
119,1,1
120,33,1
121,35,31
122,10,1
123,58,10
124,1,1
125,1,1
126,44,1
127,1,35
128,1,1
129,58,1
130,8,44
131,1,1
132,1,1
133,4,40
134,33,60
135,1,1
136,27,54
137,6,1
138,61,54
139,4,47
140,6,1
141,6,1
142,46,1
143,16,64
144,52,34
145,4,1
146,1,1
147,6,1
148,26,35
149,1,15
150,1,59
151,1,63
152,1,53
153,51,1
154,6,25
155,45,1
156,1,16
157,1,1
158,31,1
159,52,1
160,1,28
161,1,46
162,1,1
163,6,1
164,22,1
165,1,46
166,11,51
167,45,1
168,26,1
169,23,56
170,58,32
171,13,1
172,9,50
173,1,1
174,1,1
175,59,1
176,49,53
177,24,1
178,8,1
179,51,8
180,21,19
181,40,1
182,6,1
183,1,45
184,28,1
185,1,54
186,8,1
187,18,1
188,19,1
189,18,1
190,42,1
191,1,26
192,33,60
193,12,12
194,1,20
195,1,1
196,6,26
197,44,42
198,26,34
199,1,1
200,27,50
201,1,47
202,54,1
203,57,9
204,55,1
205,48,1
206,21,1
207,50,1
208,1,59
209,19,52
210,1,33
211,46,1
212,22,1
213,9,1
214,54,1
215,1,1
216,41,1
217,46,40
218,1,26
219,63,58
220,12,1
221,1,31
222,1,1
223,10,1
224,1,29
225,22,47
226,6,32
227,24,54
228,11,1
229,1,1
230,4,1
231,4,1
232,26,1
233,8,1
234,8,28
235,1,1
236,1,1
237,1,1
238,1,21
239,6,1
240,6,1
241,1,30
242,36,1
243,1,1
244,18,33
245,1,1
246,6,1
247,1,1
248,1,1
249,1,23
250,8,1
251,60,1
252,4,55
253,1,1
254,25,26
255,19,1
256,15,1
257,25,9
258,40,1
259,58,1
260,4,1
261,1,12
262,1,1
263,50,10
264,54,1
265,16,1
266,61,51
267,1,51
268,4,1
269,60,1
270,1,22
271,24,1
272,22,1
273,1,1
274,1,1
275,8,23
276,15,1
277,9,1
278,59,9
279,1,1
280,6,1
281,28,6
282,1,1
283,1,1
284,1,1
285,12,1
286,8,39
287,18,1
288,1,29
289,9,1
290,1,1
291,8,1
292,1,1
293,21,59
294,8,1
295,1,1
296,1,1
297,4,1
298,1,28
299,1,1
300,42,18
301,63,1
302,46,1
303,50,8
304,8,1
305,1,1
306,6,1
307,20,1
308,1,1
309,9,1
310,1,24
311,50,38
312,1,1
313,1,43
314,1,1
315,6,41
316,16,1
317,43,64
318,22,1
319,43,56
320,49,9
321,12,54
322,20,1
323,1,13
324,14,13
325,51,4
326,1,40
327,66,32
328,22,47
329,52,1
330,1,55
331,24,1
332,65,42
333,1,1
334,6,44
335,28,48
336,15,1
337,65,6
338,1,1
339,4,1
340,1,39
341,46,9
342,25,41
343,1,1
344,57,1
345,1,46
346,16,52
347,1,41
348,4,1
349,54,1
350,44,1
351,14,54
352,28,17
353,13,40
354,1,1
355,1,1
356,15,66
357,10,1
358,52,1
359,4,59
360,1,30
361,22,1
362,31,1
363,1,1
364,37,1
365,1,1
366,37,1
367,6,38
368,1,25
369,1,20
370,1,29
371,6,63
372,9,50
373,1,32
374,47,66
375,47,1
376,6,1
377,43,37
378,6,60
379,55,1
380,1,38
381,29,38
382,13,1
383,35,42
384,9,1
385,36,31
386,61,44
387,53,1
388,42,1
389,47,1
390,36,55
391,1,57
392,6,1
393,6,59
394,1,1
395,21,1
396,1,1
397,8,39
398,36,1
399,4,1
400,6,47
401,1,1
402,15,1
403,6,1
404,1,8
405,1,1
406,44,58
407,1,18
408,6,50
409,1,1
410,15,1
411,4,1
412,59,1
413,8,1
414,1,1
415,38,1
416,1,1
417,56,1
418,1,15
419,30,1
420,1,62
421,48,1
422,1,1
423,8,25
424,6,53
425,13,1
426,35,1
427,40,1
428,13,1
429,9,1
430,25,1
431,14,58
432,1,1
433,60,1
434,4,1
435,45,35
436,47,26
437,41,1
438,1,1
439,1,1
440,12,45
441,6,1
442,45,1
443,10,61
444,62,1
445,34,48
446,18,1
447,52,30
448,11,1
449,16,40
450,43,1
451,6,53
452,54,1
453,9,27
454,14,50
455,47,31
456,45,30
457,28,31
458,51,1
459,26,22
460,13,1
461,8,1
462,13,1
463,55,1
464,28,1
465,32,56
466,18,1
467,1,1
468,34,1
469,31,57
470,18,18
471,39,1
472,1,1
473,43,1
474,1,42
475,6,1
476,1,1
477,9,1
478,1,1
479,51,52
480,10,31
481,8,1
482,1,1
483,1,15
484,1,11
485,1,1
486,53,52
487,1,53
488,48,1
489,4,31
490,21,1
491,6,1
492,1,1
493,19,1
494,1,67
495,8,1
496,1,1
497,1,31
498,31,1
499,1,1
500,18,50
501,20,1
502,4,1
